"%1 %2","%1 %2"
"%1 - %2","%1 - %2"
"%1 amount of %2 via Stripe. Transaction ID: %3","%1 amount of %2 via Stripe. Transaction ID: %3"
"%1 could not be captured online because it was already captured via Stripe. Capturing %1 offline instead.","%1 could not be captured online because it was already captured via Stripe. Capturing %1 offline instead."
"%1 could not be captured online because this cart includes subscriptions which are trialing. Capturing %1 offline instead.","%1 could not be captured online because this cart includes subscriptions which are trialing. Capturing %1 offline instead."
"%1 every %2 %3","%1 every %2 %3"
"%1 every %2","%1 every %2"
"%1 out of %2 could not be refunded online. Creating an offline refund instead.","%1 out of %2 could not be refunded online. Creating an offline refund instead."
"%1 payments of %2","%1 payments of %2"
"%1 was already captured via Stripe. The invoice was in Pending status, likely because a webhook could not be delivered to your website. Capturing %1 offline instead.","%1 was already captured via Stripe. The invoice was in Pending status, likely because a webhook could not be delivered to your website. Capturing %1 offline instead."
"%1 •••• %2","%1 •••• %2"
"-- Disabled --","-- Disabled --"
"-- Please select a template --","-- Please select a template --"
"Cannot update subscription because the original was purchased in a different currency.","Cannot update subscription because the original was purchased in a different currency."
"Captured %1 online. This amount includes %2 multishipping orders.","Captured %1 online. This amount includes %2 multishipping orders."
"Captured %1 online. This is a joint amount for %2 multishipping orders.","Captured %1 online. This is a joint amount for %2 multishipping orders."
"Captured %1 via Stripe, but it is more than the order total. No new invoice will be created. Transaction ID: %2","Captured %1 via Stripe, but it is more than the order total. No new invoice will be created. Transaction ID: %2"
"Captured %1 via Stripe, but the invoice amount does not match the order amount. Transaction ID: %2","Captured %1 via Stripe, but the invoice amount does not match the order amount. Transaction ID: %2"
"Captured %1 via Stripe, but the invoice is already canceled. Transaction ID: %2","Captured %1 via Stripe, but the invoice is already canceled. Transaction ID: %2"
"Captured %1 via Stripe, but the invoice is already paid. No new invoice will be created. Transaction ID: %2","Captured %1 via Stripe, but the invoice is already paid. No new invoice will be created. Transaction ID: %2"
"Captured %1 via Stripe, but there are multiple invoices. No new invoice will be created. Transaction ID: %2","Captured %1 via Stripe, but there are multiple invoices. No new invoice will be created. Transaction ID: %2"
"Captured amount %1.","Captured amount %1."
"Card CVC code","Card CVC code"
"Card icons","Card icons"
"Card •••• %1 has been deleted.","Card •••• %1 has been deleted."
"Cart %1 by %2","Cart %1 by %2"
"Cart %1","Cart %1"
"Cartes Bancaires","Cartes Bancaires"
"Change email notification","Change email notification"
"Change email template","Change email template"
"Change payment method","Change payment method"
"Change shipping details","Change shipping details"
"Change subscription payment method","Change subscription payment method"
"Change subscription","Change subscription"
"Checkout, top section","Checkout, top section"
"Checkout, within payment form","Checkout, within payment form"
"Click here to verify your payment method","Click here to verify your payment method"
"Click to pay","Click to pay"
"Collect for new and saved cards","Collect for new and saved cards"
"Collect only for new cards","Collect only for new cards"
"Could not accept the manual review: %1","Could not accept the manual review: %1"
"Could not add payment method: %1.","Could not add payment method: %1."
"Could not change subscription payment method: %1.","Could not change subscription payment method: %1."
"Could not create Stripe invoice because the order contains no items.","Could not create Stripe invoice because the order contains no items."
"Could not create Stripe invoice for order #%1","Could not create Stripe invoice for order #%1"
"Could not create recurring subscription order. The shipping method '%1' from order #%2 is no longer available, and there are no alternative shipping methods to use.","Could not create recurring subscription order. The shipping method '%1' from order #%2 is no longer available, and there are no alternative shipping methods to use."
"Could not create subscription product in Stripe.","Could not create subscription product in Stripe."
"Could not find Stripe Payment Intent ID for the order.","Could not find Stripe Payment Intent ID for the order."
"Could not load Stripe account details.","Could not load Stripe account details."
"Could not load order for this subscription.","Could not load order for this subscription."
"Could not load subscription product.","Could not load subscription product."
"Could not load the original order #%1 of this subscription.","Could not load the original order #%1 of this subscription."
"Could not load the original order items.","Could not load the original order items."
"Could not place order: Please specify a shipping method.","Could not place order: Please specify a shipping method."
"Could not place order: Your checkout session has expired.","Could not place order: Your checkout session has expired."
"Could not redirect to Stripe Checkout.","Could not redirect to Stripe Checkout."
"Could not refund payment: %1","Could not refund payment: %1"
"Could not set up customer profile: %1","Could not set up customer profile: %1"
"Coupon Duration","Coupon Duration"
"Credit memo email template","Credit memo email template"
"Cron: Captured %1 online. This amount is part of %2 multishipping orders totaling %3. Transaction ID: %4","Cron: Captured %1 online. This amount is part of %2 multishipping orders totaling %3. Transaction ID: %4"
"Cron: Partially captured %1 online. This amount is part of %2 multishipping orders totaling %3, and does not include cancelations and refunds. Transaction ID: %4","Cron: Partially captured %1 online. This amount is part of %2 multishipping orders totaling %3, and does not include cancelations and refunds. Transaction ID: %4"
"Cron: The amount to be captured (%1) is larger than the authorized amount of %2. We will capture %2 instead. Transaction ID: %3","Cron: The amount to be captured (%1) is larger than the authorized amount of %2. We will capture %2 instead. Transaction ID: %3"
"Current Billing Plan","Current Billing Plan"
"Custom Capture Amount","Custom Capture Amount"
"Customer Email","Customer Email"
"Customer abandoned the cart. The payment session has expired.","Customer abandoned the cart. The payment session has expired."
"Customer paid %1 using bank transfer. To complete payment, ask the customer to transfer %2 more.","Customer paid %1 using bank transfer. To complete payment, ask the customer to transfer %2 more."
"Customer was charged %1 via Stripe Adaptive Pricing.","Customer was charged %1 via Stripe Adaptive Pricing."
"Customers can change subscription","Customers can change subscription"
"Default EU Country","Default EU Country"
"Diners Club","Diners Club"
"Discount action %1 does not apply to the whole order.","Discount action %1 does not apply to the whole order."
"Display all card icons","Display all card icons"
"Download PDF","Download PDF"
"Download invoice","Download invoice"
"Email Templates","Email Templates"
"Embed payment form into the native flow.","Embed payment form into the native flow."
"Event is queued for processing.","Event is queued for processing."
"Event queued for processing","Event queued for processing"
"Exception for failed order not found.","Exception for failed order not found."
"Expired authorizations","Expired authorizations"
"Express Checkout","Express Checkout"
"Extended authorizations","Extended authorizations"
"Filter payment methods","Filter payment methods"
"First payment","First payment"
"Form layout","Form layout"
"Fraud via Stripe Radar","Fraud via Stripe Radar"
"General settings","General settings"
"Google Pay","Google Pay"
"Grand Total","Grand Total"
"Guest credit memo email template","Guest credit memo email template"
"Guest renewal email template","Guest renewal email template"
"Guest renewal invoice email template","Guest renewal invoice email template"
"Guest shipment email template","Guest shipment email template"
"Hold elevated risk orders","Hold elevated risk orders"
"Horizontal - Tabs","Horizontal - Tabs"
"If the start date is January 1st, and the subscription repeats monthly, then subscriptions will start on the 1st of next month. If the subscription repeats every 6 months, subscriptions will start either on January 1st or July 1st.","If the start date is January 1st, and the subscription repeats monthly, then subscriptions will start on the 1st of next month. If the subscription repeats every 6 months, subscriptions will start either on January 1st or July 1st."
"Ignoring %1 webhook event with no associated order ID.","Ignoring %1 webhook event with no associated order ID."
"Initial Fee Tax","Initial Fee Tax"
"Initial Fee","Initial Fee"
"Installments: %1 %2","Installments: %1 %2"
"Invalid %1 country.","Invalid %1 country."
"Invalid discount action: %1","Invalid discount action: %1"
"Invalid discount amount: %1","Invalid discount amount: %1"
"Invalid discount currency: %1","Invalid discount currency: %1"
"Invalid discount name: %1","Invalid discount name: %1"
"Invalid payment method ID.","Invalid payment method ID."
"Invalid product ID","Invalid product ID"
"Invalid setup intent ID.","Invalid setup intent ID."
"Invalid shipping address country.","Invalid shipping address country."
"Invalid shipping address region.","Invalid shipping address region."
"Invalid shipping address street.","Invalid shipping address street."
"Invalid shipping address.","Invalid shipping address."
"Invalid store requested.","Invalid store requested."
"Invalid subscription ID.","Invalid subscription ID."
"Invalid token provided for multishipping payment confirmation.","Invalid token provided for multishipping payment confirmation."
"It is not possible to capture subscription orders that were created from the CLI.","It is not possible to capture subscription orders that were created from the CLI."
"It is not possible to capture the payment because the transaction has not yet been authorized.","It is not possible to capture the payment because the transaction has not yet been authorized."
"Last billed","Last billed"
"Live publishable API key","Live publishable API key"
"Live secret API key","Live secret API key"
"Manual Review associated with the order is closed.","Manual Review associated with the order is closed."
"Manual Review associated with the order was not found.","Manual Review associated with the order was not found."
"Marketing > Email Templates","Marketing > Email Templates"
"Meses sin intereses","Meses sin intereses"
"Minimum amount","Minimum amount"
"Module version","Module version"
"Multishipping orders %1 by %2","Multishipping orders %1 by %2"
"My Payment Methods","My Payment Methods"
"My Subscriptions","My Subscriptions"
"New Billing Plan","New Billing Plan"
"New subscription amount","New subscription amount"
"New subscription order","New subscription order"
"Next billing date","Next billing date"
"No invoice found in Stripe for this payment.","No invoice found in Stripe for this payment."
"No payment has been collected. A separate order will be created with the first payment.","No payment has been collected. A separate order will be created with the first payment."
"No payment method.","No payment method."
"Number of months","Number of months"
"One time payment","One time payment"
"Online invoice payment","Online invoice payment"
"Only one subscription is allowed per order.","Only one subscription is allowed per order."
"Optimized for conversion","Optimized for conversion"
"Optional statement descriptor","Optional statement descriptor"
"Order #","Order #"
"Order #%1 by %2","Order #%1 by %2"
"Order #%1","Order #%1"
"Order ID is missing.","Order ID is missing."
"Order Items","Order Items"
"Order could not be rejected from the admin area. Please refund the payment from Stripe Dashboard.","Order could not be rejected from the admin area. Please refund the payment from Stripe Dashboard."
"Order created via subscriptions CLI migration tool.","Order created via subscriptions CLI migration tool."
"Order has more than one invoice. Please refund the payment from Stripe Dashboard.","Order has more than one invoice. Please refund the payment from Stripe Dashboard."
"Order placed under manual review by Stripe Radar.","Order placed under manual review by Stripe Radar."
"Partially captured %1 online. This amount is part of %2 multishipping orders totaling %3, and does not include cancelations and refunds.","Partially captured %1 online. This amount is part of %2 multishipping orders totaling %3, and does not include cancelations and refunds."
"Partially captured %1 via Stripe, but it less than the order total. Please invoice the order offline with the correct order items. Transaction ID: %2","Partially captured %1 via Stripe, but it less than the order total. Please invoice the order offline with the correct order items. Transaction ID: %2"
"Pay invoice","Pay invoice"
"PayPal Express","PayPal Express"
"Payment Method Messaging Element","Payment Method Messaging Element"
"Payment Method","Payment Method"
"Payment action","Payment action"
"Payment authentication failed.","Payment authentication failed."
"Payment authorization succeeded.","Payment authorization succeeded."
"Payment due","Payment due"
"Payment failed. Please try placing the order again.","Payment failed. Please try placing the order again."
"Payment failed.","Payment failed."
"Payment failed: %1","Payment failed: %1"
"Payment flow","Payment flow"
"Payment method configuration","Payment method configuration"
"Payment method verification","Payment method verification"
"Payment set in manual review in Stripe with the following message: %1","Payment set in manual review in Stripe with the following message: %1"
"Payment set in manual review in Stripe.","Payment set in manual review in Stripe."
"Payment status","Payment status"
"Payment succeeded.","Payment succeeded."
"Pending Payment Order Lifetime (days)","Pending Payment Order Lifetime (days)"
"Pick start date","Pick start date"
"Place Order","Place Order"
"Place order first (GraphQL API)","Place order first (GraphQL API)"
"Place order first (REST API)","Place order first (REST API)"
"Please select a payment method.","Please select a payment method."
"Please select an installment plan","Please select an installment plan"
"Please specify a billing address.","Please specify a billing address."
"Please specify a payment method ID or confirmation token.","Please specify a payment method ID or confirmation token."
"Please specify a payment method ID.","Please specify a payment method ID."
"Please specify a payment method.","Please specify a payment method."
"Please specify a shipping address region/state.","Please specify a shipping address region/state."
"Please specify a subscription ID.","Please specify a subscription ID."
"Please specify the billing address.","Please specify the billing address."
"Please specify the location.","Please specify the location."
"Please specify the new address.","Please specify the new address."
"Please specify the parameters for adding a product.","Please specify the parameters for adding a product."
"Please update your billing address to proceed.","Please update your billing address to proceed."
"Previous subscription amount","Previous subscription amount"
"Previous subscription order","Previous subscription order"
"Product pages","Product pages"
"Quote address for failed order ID ""%1"" not found.","Quote address for failed order ID ""%1"" not found."
"Receipt emails","Receipt emails"
"Received %1 webhook but there was no associated Order #","Received %1 webhook but there was no associated Order #"
"Received %1 webhook with Order #%2 but could not find the order in Magento.","Received %1 webhook with Order #%2 but could not find the order in Magento."
"Received invalid request payload.","Received invalid request payload."
"Redirect customers to Stripe Checkout.","Redirect customers to Stripe Checkout."
"Refund amount must be positive.","Refund amount must be positive."
"Refunding order offline.","Refunding order offline."
"Rejected via admin area","Rejected via admin area"
"Renewal email notification","Renewal email notification"
"Renewal email template","Renewal email template"
"Renewal invoice email template","Renewal invoice email template"
"Repeat Every","Repeat Every"
"Requested a refund of %1, but the most amount that can be refunded online is %2. You can retry refunding offline instead.","Requested a refund of %1, but the most amount that can be refunded online is %2. You can retry refunding offline instead."
"Requested a refund of %1, but the most amount that can be refunded online is %2.","Requested a refund of %1, but the most amount that can be refunded online is %2."
"Requested an online refund of %1, but the most amount that can be refunded online is %2. Refunding offline instead.","Requested an online refund of %1, but the most amount that can be refunded online is %2. Refunding offline instead."
"Risk evaluation","Risk evaluation"
"Save card on customer","Save card on customer"
"Save customer payment method","Save customer payment method"
"Save without asking","Save without asking"
"Saved payment methods","Saved payment methods"
"Scheduled %1 to be captured via cron on %5. This amount is part of %2 multishipping orders totaling %3. To capture now instead, invoice or cancel all multishipping orders (%4). ","Scheduled %1 to be captured via cron on %5. This amount is part of %2 multishipping orders totaling %3. To capture now instead, invoice or cancel all multishipping orders (%4). "
"Scheduled %1 to be refunded via cron on %2. This amount is part of %3 multishipping orders totaling %4. To refund now instead, invoice or cancel all multishipping orders (%5). ","Scheduled %1 to be refunded via cron on %2. This amount is part of %3 multishipping orders totaling %4. To refund now instead, invoice or cancel all multishipping orders (%5). "
"Select card icons","Select card icons"
"Select payment method","Select payment method"
"Seller name","Seller name"
"Send invoice by email (Stripe Billing)","Send invoice by email (Stripe Billing)"
"Send missing order emails","Send missing order emails"
"Send payment line items to Stripe","Send payment line items to Stripe"
"Shipment email template","Shipment email template"
"Shipping Discount","Shipping Discount"
"Shipping Info","Shipping Info"
"Shipping Method","Shipping Method"
"Shopping cart page","Shopping cart page"
"Show in Minicart","Show in Minicart"
"Show in Shopping Cart","Show in Shopping Cart"
"Show on Product Page","Show on Product Page"
"Show only specific cards","Show only specific cards"
"Something went wrong. Please contact us for assistance.","Something went wrong. Please contact us for assistance."
"Something went wrong. Please try again.","Something went wrong. Please try again."
"Sorry, an error has occurred. Please contact us for assistance.","Sorry, an error has occurred. Please contact us for assistance."
"Sorry, it is not possible to delete this payment method because it is used by an active subscription.","Sorry, it is not possible to delete this payment method because it is used by an active subscription."
"Sorry, it is not possible to delete this payment method because order #%1 which was placed using it is still being processed.","Sorry, it is not possible to delete this payment method because order #%1 which was placed using it is still being processed."
"Sorry, it is not possible to invoice this order because the payment is still pending.","Sorry, it is not possible to invoice this order because the payment is still pending."
"Sorry, the order could not be placed. Please contact us for assistance.","Sorry, the order could not be placed. Please contact us for assistance."
"Sorry, the payment method could not be saved: ","Sorry, the payment method could not be saved: "
"Sorry, the selected payment method is not available. Please use a different payment method.","Sorry, the selected payment method is not available. Please use a different payment method."
"Sorry, the subscription could not be canceled. Please contact us for assistance.","Sorry, the subscription could not be canceled. Please contact us for assistance."
"Sorry, the subscription could not be changed. Please contact us for assistance.","Sorry, the subscription could not be changed. Please contact us for assistance."
"Sorry, the subscription could not be reactivated. Please contact us for assistance.","Sorry, the subscription could not be reactivated. Please contact us for assistance."
"Sorry, the subscription could not be reactivated. Please contact us for more help.","Sorry, the subscription could not be reactivated. Please contact us for more help."
"Sorry, the subscription could not be updated. Please contact us for assistance.","Sorry, the subscription could not be updated. Please contact us for assistance."
"Sorry, there was a problem reactivating the subscription","Sorry, there was a problem reactivating the subscription"
"Sorry, this option is not available right now.","Sorry, this option is not available right now."
"Sorry, this payment method is not available in your country.","Sorry, this payment method is not available in your country."
"Sorry, this payment method is not available. Please contact us for assistance.","Sorry, this payment method is not available. Please contact us for assistance."
"Sorry, this subscription product is currently unavailable.","Sorry, this subscription product is currently unavailable."
"Sorry, unable to reactivate the subscription.","Sorry, unable to reactivate the subscription."
"Sort order","Sort order"
"Specific Currencies","Specific Currencies"
"Start on specific date","Start on specific date"
"Starting on %1","Starting on %1"
"Stripe - %1","Stripe - %1"
"Stripe - Customer request for subscription update","Stripe - Customer request for subscription update"
"Stripe Checkout - %1","Stripe Checkout - %1"
"Stripe Checkout session has expired without a payment.","Stripe Checkout session has expired without a payment."
"Stripe Invoicing","Stripe Invoicing"
"Stripe Payment Method","Stripe Payment Method"
"Stripe Radar","Stripe Radar"
"Stripe does not support discounts applied after the tax calculation.","Stripe does not support discounts applied after the tax calculation."
"Stripe does not support shipping discounts when the order has tax.","Stripe does not support shipping discounts when the order has tax."
"Stripe does not support total price based tax calculation.","Stripe does not support total price based tax calculation."
"Stripe does not support unit price based tax calculation.","Stripe does not support unit price based tax calculation."
"Subscription %1 has been updated from %2 to %3. The old order was #%4.","Subscription %1 has been updated from %2 to %3. The old order was #%4."
"Subscription Enabled","Subscription Enabled"
"Subscription Total","Subscription Total"
"Subscription Update Review","Subscription Update Review"
"Subscription Update","Subscription Update"
"Subscription amount","Subscription amount"
"Subscription items cannot be captured online. Capturing offline instead.","Subscription items cannot be captured online. Capturing offline instead."
"Subscription status","Subscription status"
"Subscription update","Subscription update"
"Subscriptions by Stripe","Subscriptions by Stripe"
"Subscriptions that do not renew together must be bought separately.","Subscriptions that do not renew together must be bought separately."
"Subscriptions via Stripe Billing","Subscriptions via Stripe Billing"
"Successfully verified the payment method","Successfully verified the payment method"
"Test publishable API key","Test publishable API key"
"Test secret API key","Test secret API key"
"The amount of %1 (%2 including fees) was withdrawn from the Stripe account.","The amount of %1 (%2 including fees) was withdrawn from the Stripe account."
"The amount of %1 was withdrawn via Stripe, but the currency is different than the order currency.","The amount of %1 was withdrawn via Stripe, but the currency is different than the order currency."
"The amount to be captured (%1) is larger than the authorized amount of %2. We will capture %2 instead.","The amount to be captured (%1) is larger than the authorized amount of %2. We will capture %2 instead."
"The authorization has expired and the original payment method cannot be reused to re-create the payment.","The authorization has expired and the original payment method cannot be reused to re-create the payment."
"The billing details for a subscription on this order have changed. Please see order #%1 for information on the new billing details.","The billing details for a subscription on this order have changed. Please see order #%1 for information on the new billing details."
"The cart contents have changed. The order is canceled because a new one will be placed (#%1) with the new details.","The cart contents have changed. The order is canceled because a new one will be placed (#%1) with the new details."
"The cart contents or customer details have changed, or a checkout crash occurred. The order is canceled because a new one will be placed (#%1).","The cart contents or customer details have changed, or a checkout crash occurred. The order is canceled because a new one will be placed (#%1)."
"The cart is empty or your session has expired.","The cart is empty or your session has expired."
"The coupon duration is not a valid number.","The coupon duration is not a valid number."
"The customer details have changed, a different checkout flow was selected, or a checkout error occurred. The order is canceled because a new one will be placed (#%1) with the new details.","The customer details have changed, a different checkout flow was selected, or a checkout error occurred. The order is canceled because a new one will be placed (#%1) with the new details."
"The customer has been redirected for authentication.","The customer has been redirected for authentication."
"The customer has selected a different payment method.","The customer has selected a different payment method."
"The customer has updated their subscription on %1. Recurring order generated from updated subscription with ID %2.","The customer has updated their subscription on %1. Recurring order generated from updated subscription with ID %2."
"The customer has updated their subscription on %1. The initial subscription order was #%2. Recurring order generated from updated subscription with ID %3.","The customer has updated their subscription on %1. The initial subscription order was #%2. Recurring order generated from updated subscription with ID %3."
"The customer is not logged in.","The customer is not logged in."
"The customer returned from Stripe and changed the cart details.","The customer returned from Stripe and changed the cart details."
"The customer will receive an invoice by email with bank transfer instructions.","The customer will receive an invoice by email with bank transfer instructions."
"The customer's bank requested customer authentication. Beginning the authentication process.","The customer's bank requested customer authentication. Beginning the authentication process."
"The discount could not be created in Stripe: %1","The discount could not be created in Stripe: %1"
"The dispute was resolved with a refund of %1 via Stripe.","The dispute was resolved with a refund of %1 via Stripe."
"The disputed amount of %1 has been returned to you.","The disputed amount of %1 has been returned to you."
"The invoice for order #%1 could not be created in Stripe: %2","The invoice for order #%1 could not be created in Stripe: %2"
"The invoice for this order could not be found.","The invoice for this order could not be found."
"The invoice item could not be created in Stripe: %1","The invoice item could not be created in Stripe: %1"
"The invoice was voided via Stripe.","The invoice was voided via Stripe."
"The issuing bank chose not to pursue this dispute. No funds or fees were withdrawn from your account. The order will be returned to the status it had before it was disputed.","The issuing bank chose not to pursue this dispute. No funds or fees were withdrawn from your account. The order will be returned to the status it had before it was disputed."
"The issuing bank resolved this dispute in your favour. The order will be returned to the status it had before it was disputed.","The issuing bank resolved this dispute in your favour. The order will be returned to the status it had before it was disputed."
"The maximum available amount to capture is %1, but a capture of %2 was requested.","The maximum available amount to capture is %1, but a capture of %2 was requested."
"The most amount that can be captured online is %1.","The most amount that can be captured online is %1."
"The order billing address has changed (%1).","The order billing address has changed (%1)."
"The order could not be canceled because the payment is still being processed.","The order could not be canceled because the payment is still being processed."
"The order could not be placed. Please contact us for assistance.","The order could not be placed. Please contact us for assistance."
"The order details have changed (%1).","The order details have changed (%1)."
"The order has already been placed and paid.","The order has already been placed and paid."
"The order is pending a bank transfer of %1 from the customer.","The order is pending a bank transfer of %1 from the customer."
"The order items have changed (%1).","The order items have changed (%1)."
"The order shipping address has changed (%1).","The order shipping address has changed (%1)."
"The order shipping method has changed (%1).","The order shipping method has changed (%1)."
"The order was canceled via cron because it expired as per the Pending Payment Order Lifetime setting and payment was overdue.","The order was canceled via cron because it expired as per the Pending Payment Order Lifetime setting and payment was overdue."
"The order was canceled via cron because it expired as per the Pending Payment Order Lifetime setting.","The order was canceled via cron because it expired as per the Pending Payment Order Lifetime setting."
"The order was unexpectedly in a canceled state when a payment was collected. Attempting to re-open the order.","The order was unexpectedly in a canceled state when a payment was collected. Attempting to re-open the order."
"The payment can only be refunded via the Stripe Dashboard. You can retry in offline mode instead.","The payment can only be refunded via the Stripe Dashboard. You can retry in offline mode instead."
"The payment for this order has not been authorized yet.","The payment for this order has not been authorized yet."
"The payment has been approved by %1.","The payment has been approved by %1."
"The payment has been canceled by %1 with reason: %2.","The payment has been canceled by %1 with reason: %2."
"The payment has been canceled by %1.","The payment has been canceled by %1."
